HouseIdentifier, CoordX, CoordY, Security, Value, NumBurglaries
194846, -110.95395940298036,32.23930962341346,false, 97659,0
194848, -110.95415214578667,32.239312197282636,false, 126955,0
194852, -110.95441531872464,32.23931193156418,false, 147248,0
194862, -110.95462578544726,32.239310240288425,false, 127323,0
194866, -110.95478980907252,32.23931248993681,false, 20000,0
194870, -110.95496687066164,32.23931005418433,false, 93053,0
194881, -110.91969887062771,32.23907551232932,false, 63082,0
194883, -110.95512272433676,32.23931308952196,false, 202109,0
194894, -110.92176438082691,32.23907477492653,false, 136616,0
194896, -110.92200313684589,32.23907365571085,false, 81863,0
194941, -110.95713752628522,32.23943685641392,false, 69359,0
194949, -110.95749818511503,32.23936599382346,false, 49918,0
194954, -110.92628459725117,32.23908883740706,false, 85391,0
194956, -110.95774229021089,32.23943417770404,false, 89591,0
194959, -110.92280123015263,32.23913363044368,false, 174995,0
194964, -110.93552374301211,32.239240397379675,false, 137527,0
194971, -110.92310609778295,32.23902704006508,false, 97920,0
194979, -110.92333088041941,32.239026811458686,false, 122020,0
194982, -110.95842545197102,32.23911184818372,false, 42663,0
194983, -110.92355690448909,32.23902386962244,false, 94522,0
194985, -110.94360790038368,32.23928333636688,false, 20000,0
194986, -110.92378655987577,32.239023959118214,false, 125156,0
194999, -110.92402387101906,32.23902229108636,false, 103737,0
195007, -110.9242442720792,32.23902201197334,false, 138322,0
195011, -110.95884092923168,32.23928670586773,false, 98356,0
195012, -110.92444100098704,32.23902005417007,false, 65422,0
195015, -110.95898857022803,32.23935771445474,false, 85639,0
195018, -110.95922305477009,32.23942371286185,false, 72204,0
195031, -110.95980915829324,32.23941806761583,false, 20000,0
195038, -110.9600436830328,32.239351843694436,false, 22192,0
195042, -110.96019605203892,32.23928207117453,false, 89844,0
195045, -110.96039790646407,32.23934972310835,false, 93483,0
195048, -110.96054702123045,32.23935029015639,false, 20000,0
195050, -110.96077781128183,32.239414608344354,false, 205713,1
195055, -110.9364777190056,32.239217435048026,false, 20000,0
195057, -110.96137847464801,32.23934374418427,false, 86404,0
195065, -110.96170001976441,32.239344615708056,false, 97882,0
195073, -110.9620199998547,32.239271941894344,false, 71491,0
195082, -110.96234038536178,32.23927180348098,false, 93455,0
195094, -110.96302804063691,32.23939486391698,false, 20000,0
195103, -110.963487053175,32.239258509244,false, 59628,0
195106, -110.96370642177541,32.239327740517425,false, 131767,0
195111, -110.96393107733053,32.23932789071181,false, 121980,0
195118, -110.96435519163346,32.239280121265544,false, 98382,0
195121, -110.96450988293667,32.239277359236766,false, 70888,0
195125, -110.96466112790048,32.23928032230693,false, 127641,0
195129, -110.96481937029668,32.23927899127161,false, 107219,0
195132, -110.96501382359494,32.23932336267619,false, 52619,0
195136, -110.96517743730466,32.239324350459555,false, 27336,0
